id,TEXT,LABEL
467,no working,Товар плохого качества
3371,Каспийге көп рақмет,Каспи
756,Баска батария салып жыберген екеуыде жасамайтын болып келды.,"Товар плохого качества,Другой товар"
13626,"Қызыма сыйлыққа сатып алдым, жұмыс жасап тұр.",Неинформативный
2688,"Заказала 30шт, пришли 2шт! Вернули деньги! Сразу сказали бы что нет в наличии, заказала бы в другом месте! Зря ждала 5 дней.",Неполная комплектация
1090,"Білмим оинап көрмелім күшті шығар, бірақ качествосы супер.",Продукт
5932,Отличный магазин. Быстрая доставка. Перед доставкой связались и уточнили размер.,Продавец
3798,Коллаген келди енди бастап ишемин.,Неинформативный
6880,"Приобрела данный аэрогриль, проверила как готовит, картофель сверху подгорел, второй слой совсем не приготовился, решила сделать возврат. Магазин отказывается брать назад, ссылаются на вскрытие коробки, пишут не сохранен товарный вид. А как по вашему я должна была проверить товар не открывая коробки?Не советую данную модель к приобретению и магазин, не позвонили узнать причину, просто отказ и всё.","Возврат,Товар плохого качества"
11498,"липнет к телефону, а к полке не липнет.",Товар плохого качества
3485,"Качество өте нашар, бағасына тіптен тұрмайды, шегелері әр жерден шыққан, отырғанда орындық сынып жатыр, не деген маскарад, тап солай жасауға болады ма екен? Маңдай термен келген ақшаға алып отырмыз ғой. Әттең деп сан соғып отырмыз, возврат жасайтын мүмкіндік болса қайтарып жіберетін.","Возврат,Товар плохого качества"
1374,"Включается через раз, продавец РК-Дистрибуция не дозвониться, телефон все время выключен. Не рекомендую ни продавца, ни товар.",Продавец
4871,На счёт зимы враньё. Это летний вариант.,Другой товар
1862,"Дорогие и элегантные часы, всем советую.",Продукт
10059,Чистый вкус. Цена конечно. Но того стоит. И вишенка на торте - пробка сделанная из стекла!,Продукт
11680,"написано, что для жирной кожи головы однако по сравнению с европейскими шампунями чистота головы не сохраняется, волосы жирнеют в тот же вечер, если помыть утром возможно хорошо питает структуру волос, кому как, но мне нужного эффекта не дал шампунь.",Товар плохого качества
3613,"Керемет, алуға кеңес беремін, ойдағыдай шықты.",Продукт
11192,как мертвому припарка. пропил две банки для профилактики коленок. ничего не почувствовал. легкие боли после нагрузки и поскрипывания суставов так и остались. это плацебо. не рекомендую.,Товар плохого качества
4981,Не _x001A_шін бас_x001A_асын салып жібергенсіздер _x001A_ят емес па.,"Другой товар,Продавец"
7971,"Сервис магазина Zeta, именно магазина, а не доставщиков.",Продавец
1878,"Доставили быстро за 3 дня, спасибо за оперативность.",Доставка позитив
13556,"я хотела бы вернуть эту сумку. не оправдала ожиданий. такое чувство, что подсунуть дешёвую подделку.",Подделка
13362,хорошая вещь но пришел брак а уже поздно потому что появился только в использовании,Товар плохого качества
6086,Очень вежливый и приятный персонал. Выдали быстро. Спасибо Вам!,Продавец
1119,"Біраздан бері алғым келіп жүрген кітап еді, осының алдын әпкеме сыйлағанмын ұнады 2ші рет өзіме тапсырыс беріп отырмын.",Продукт
4337,"Магазин бракованный товар салып жіберген, возврат жасадым курьер келген жоқ, жұмыс жасамайтын тренажерды не үшін сатып жатырсыңдар? Сатушыда курьерлерде жауапсыз!.","Продавец,Доставка негатив"
7974,"Сервис на высшем уровне. Доставку осуществили очень быстро, что очень радует. Меня всё устроило, спасибо!",Доставка позитив
3996,Купил воздуходув Штиль очень хороший магазин объяснили хорошо,Продавец
3995,"Купил в магазине ИП Гасанов, во-первых размер на 10 см. как в длину так и в ширину меньше, чем заявлено, во-вторых производитель не Турция как описано, а Китай, тоненький приятный на ощупь, посмотрим ночью сиять будет или нет.","Другой товар,Продавец"
5478,Нормальный манометр.,Продукт
8522,Сумка сатылымдағы ақшасына тұрмайды. Маған ұнамады. Продавец SARA STORE қызметін дұрыс атқармады Возврат жасағанмын возврат қабылдамай 20 күн уақыт алды және кери саламын жол ақшасын өзіңіз толейсіз дейді. Бұлай капийден алғанда көбен көріп қолмен ұстап базардан алыңыздар.,"Возврат,Каспи,Товар плохого качества,Продавец"
6621,Получил вовремя.,Доставка позитив
10083,Шапка на голову ребенка.,Другой товар
5375,"Неплохое сверло, особо толстый металл конечно ещё им не сверлил, в основном пластик, но даже его не зализывает, а прям режет. В тонком металле тоже себя неплохо показало пару раз. Жаль, что только на 20мм, было больше, но слишком, аж на 32. Что-то среднее не смог найти за такие деньги. Извините, деволт за 25 тысяч я брать не готов.",Цена
4556,Маған өте ұнады. Сапасы да керемет. Алуға кеңес беремін.,Продукт
10977,"заказ был оформлен в 9 утра, утверждали что в течение 3-х часов доставят, а по факту в 15:30 только доставку осуществили, и то, курьер отказался получателю в руки вручать, утверждая что не было согласовано при оформлении вызова. и мне пришлось доплатить ему сверху. очень сильно разочарована в сервисе!","Продавец,Доставка негатив"
1432,"Во-первых коробка вскрыта, во-вторых телевизором явно пользовались, либо он с витрины. Аккаунт привязан был. В третьих не было шаблона для установки на стену. Что за подход Megastore?Всё-таки надо было возврат оформить, ну да ладно. Работает. Магазин под вопросом.","Товар или упаковка поврежден,Б/у"
9368,"Түсі даксы, конечно не оригинал но 88тгге стоит😂👍🏻",Подделка
4035,"Куртка очень понравилась! 48 размер на мой 50 размер отлично подошла! Спасибо большое магазину! Я очень довольна! И доставка быстрая. Спасибо девочки, Вы молодцы!","Продавец,Доставка позитив,Продукт"
9848,"Хорошие семечки, пожарить на сковороде немного.",Продукт
4299,"Ма_x001A_ан сары т_x001A_сі келді, а_x001A_шыл т_x001A_сі _x001A_нап еді.",Другой товар
2174,"Дәмді, балғын қалпында келді. Палауға тамаша келеді.",Продукт
4816,Мягкой сидушки нет.,"Неполная комплектация,Продавец"
2102,Доставляли 2 дня не прям 150см чуть меньше думал придет любой цвет кроме розового но пришел именно розовый ????,Другой товар
13105,"товар пришел в ужасном состоянии, до продавцов не дозвониться, все пришло сломанное, видимо собирали витринный товар и неаккуратно работали, отказалась от покупки, оформила возврат, в ожидании теперь.","Товар или упаковка поврежден,Возврат"
7207,"Просили чёрную, прислали серую. Доставка быстрая.",Другой товар
2656,"Заказал 43, сказали что закончился 43, уболтали на 42 размер, в итоге оказался размер маленьким, покупал для бани так что не принципиально, сойдет. Магазин ИП ZAYN.","Другой товар,Продавец"
3692,Классная менажница!,Продукт
1934,"Доставили оперативно за день, пока не тестили, будет отзыв позже.",Доставка позитив
6942,"Пришел другой рисунок, качество печати плохое, знаки были помятые.",Другой товар
12916,"стеклянный заттар сынса продавец и курьер жауап бермейді екен, тре<unk> ина етіп әкелді, уйге кіргенде затым сынды, ақшамды да затымды да орнына қайтармады, майға отзыв қалдыра алмай отырмын, біліп жүріңіздер стеклоны пакетке орап жібереді ме разве? үйімнің бәрі май болды.",Доставка негатив
9213,Товар өте тез келді!,Доставка позитив
7826,"Сапасы жақсы, тағы да тапсырыс беремін.",Продукт
6418,Подарочный шеколад не довезли,Неполная комплектация
6723,"Почему вы отправляете Назонекс аллерджи, как будто это такой же спрей, что и обычный. Если бы я не отправила врачу фото так и не поняли бы, что состав и применение разные. Стало только хуже нам. Уберите фото и описание к спрею, так как описание и применение Назонекс аллерджи вообще другое!",Другой товар
10914,"если честно у себя в городе когда покупала за 8тыс мне кажется результат был лучше. думала все так же вроде состав одинаковый, но есть одно но я не замечаю в последнее время изменение на лице. либо это подделка, не знаю даже. немного разочарована.",Подделка
6203,Очень понравился нам.,Продукт
758,"Баска марканы салып жіберген, материал алькантара деп жазылып тур, алькантара емес, не телефонга жауап бермейді, не возврат жок продовец Tucman.","Продавец,Другой товар"
6383,"Плед хороший, по качеству мне понравился. Заказ был на плед коричневого цвета, пришел светло - светло то ли жёлтый то ли молочный в общем непонятного цвета. Насчёт цвета даже не позвонили и не уточнили. В отдел доставки передали позже, соответственно доставка сдвинулась на день.",Другой товар
829,Безобразие! Картофель пахнет гнилью! Требую возврат денег!,"Товар плохого качества,Возврат"
9799,Хорошая работа курьера. Доставка вовремя. Рекомендую всем.,Доставка позитив
8170,Спасибо большое магазину за отличный товар и быструю доставку раньше срока.,Продавец
5735,Осыны ішіп біраз спакойный болып калдым.,Продукт
4953,Наушники классные! Купила наушники оригинал Apple и это просто ужас. В них меня никто не слышал при звонке. А эти наушники классные! Все слышно при разговоре. И музыка классно играет! Советую.,Подделка
11231,"качество базарного полотна, только в красивой упаковке и дороже.",Товар плохого качества
2447,"Жақсы, алуға болады.",Продукт
4029,Куриер не _x001A_йге не пастамат_x001A_а да _x001A_кеп берме ді уа_x001A_ытым жо_x001A_ деп.,Каспи
11541,"маломерят, не удобные, жёсткие.",Товар плохого качества
10655,"вообще не советую брать,неработает,гудит просто.",Товар плохого качества
11350,"когда первый раз заказывал, одну пачку взял, эффект был. через месяц два заказ 10 пачек. че то нет эффекта, подделка попалась может. но у того же продавца брал.",Подделка
10219,Это не тот аромат подделка.,Подделка
9458,"Уақытынан ерте әкелді, жарайсыңдар жақсы жұмыс істейді.",Доставка позитив
13736,"Ұнамады, өтіп кетеді екен.",Товар плохого качества
6366,"Пишут, что размер 43 по ступне 26. 5см. У меня ступня 26 см, т. е. размер 42. Пришли якобы 43, они маленькие.",Другой товар
4075,"Кусачки хорошие, острые, но по сравнению с оригиналом который у меня есть чувствуется что не оригинал, работать можно.",Подделка
1459,Вооб<unk> е не стойд 2шт заказ берсем 1а_x001A_ шт келді е<unk> е _x001A_ол_x001A_а келмейді не советую.,"Неполная комплектация,Продавец"
8124,Спасибо Каспи и сотрудникам ТД.,"Продавец,Каспи"
7443,"Рахмет клейімен салып жіберіпті, рахмет.",Продавец
11060,"замок прошит не до конца, поэтому нога не пролазит.",Товар плохого качества
7965,"Семена отличные, но в пакетике только семена стандартного газона. Специально просеивала, искала другие семечки, чтоб посадить отдельно. Увы, и ах, всего 4 семечка другого происхождения в целом пакетике. Но я конечно не расстроилась, посеяла, где наш газон слегка проредел. Жаль всё же, что полевых цветов семян с так и не нашла.",Другой товар
8539,"Супер водолазка. Балам алдым, ұнады рахмет.",Продукт
7474,"Рахмет сізге магнум,вае свежие продукты!",Продавец
6210,"Очень прекрасно, мало того, что перепутали товар и отправили более дешёвую модель без конвекции, так ещё отклонили возраст, нашли причину, что я типа вовремя не указала свой адрес для возврата, я вообще была в поездке и в сотку не заглядывала, вот такое отн. Теперь я буду заказывать бытовую технику только в наших местных магазинах, доверия больше нет онлайн заказам.","Продавец,Другой товар,Продавец,Другой товар,Продавец,Другой товар"
7803,Сапасы жақсы бірақ өлшемінен кателесиппин.,Продукт
13056,"товар не оригинальный, ужасного качества, уберите магазин с каспи, такие продавцы портят вашу репутацию! левый наушник разряжается после 2ух часов прослушивания, звук из них просто ужасный, качество подделки на очень плохом состоянии. зачем продавать контрафакт на каспи? почему вы допускаете это?","Товар плохого качества,Подделка"
2673,"Заказал товар в подарок. Товар пришел хорошо упакованный. Но качество желает лучшего. Просто ужасное, все тонкое, все хлипкое. Решил оформить возврат от греха и от денег на ветер. Не рекомендую.",Товар плохого качества
134,2B<unk>. K<unk>магазиніне _x001A_лкен ра_x001A_мет?Тауары _x001A_те сапалы! Жанына сыйлы_x001A_ та _x001A_осып жіберген.,Каспи
3492,Качествосы жақсы.,Продукт
10811,"добрый день! заказывала два коврика, привези один! деньги за второй так и не вернули!",Неполная комплектация
13132,товар пришёл разбитый.,Товар или упаковка поврежден
2929,"Запах долго не держится. Смотря на сумму думала, что оригинал.",Подделка
12374,"полотенца отличного качества, не линяют. заказала второй раз, и во второй раз положили самые ужасные грязные цвета.",Товар плохого качества
4128,Күнделік өз уақытында келді ерекше жылулыққа толы күнделік сапасы вауу күнде күнде жаза бергің келеді.,Продукт
799,"Батарея жоқ ішінде, негізі болу керек.",Товар плохого качества
7834,Сапасы жақсы.,"Продукт,Продукт,Продукт,Продукт,Продукт,Продукт,Продукт,Продукт"
8028,Смартфон очень понравился. Красивый дизайн. Все хорошо работает.,Продукт
10651,вообще не охлаждает! пустая трата денег.,Товар плохого качества
427,_x001A_те н_x001A_зік секіллі ойымда_x001A_ыдай болмады.,Другой товар
8805,Тапсырысымды мерзімдінен ертерек алдым каспиге үлкен рахмет сапасына келсек аса керемет деп айталмаймын орташа негізгі осындай бағаға болатын шығар,Доставка позитив
5719,"Осы қызылмай жақсы әсер етеді үйге дейін әкеп береді, Каспи рахмет.","Продукт,Каспи"
12336,покупал в магазине sat. доставили вовремя. к сожалению качество пластика не пережило две аварии с препятствиями. но за такую цену как говорится грех жаловаться.,"Товар плохого качества,Доставка позитив,Продавец"
5835,"Отлично все работает, но видно что не оригинал светится по другому.",Подделка
8515,"Сумка классная, вместительная, с покупкой довольна.",Продукт
12528,пришел немного поврежденным.,Товар или упаковка поврежден
10098,"Шикарное масло, натуральное, с приятным кокосовым запахом.",Продукт
1255,"В описании написано, что Польша. В паспорте написано, что Китай.",Подделка
12242,переоцененный товар.,Товар плохого качества
5998,Отличный шлем для такой цены! Спасибо за подарок!,Продукт
5584,Ожидания реалность болдыго.,Другой товар
4822,Мүлде керек емес қыздар шашты мынадан шығарудың өзі азап кой.,Товар плохого качества
5349,"Недавно заказала себе коврик для йоги. Коврик приехал раньше ожидаемого срока. Материал приятный на ощупь, не скользит даже при интенсивных упражнениях. Толщина оптимальная – достаточно мягкий. Легко сворачивается и не занимает много места. Спасибо большое, ИП Бека.","Продукт,Продавец"
10760,"данная швабра была куплена в подарок, недостатки на мой взгляд такие: 1. не очень удобная. 2 маленький объем воды для ополаскивания. 2. щётка для снятия волос и т. п. с тряпки не работает, прижима нет, поэтому наверное частично остаётся. 3. про отжим, изначально догадывался, что отжима положенного не будет, так и вышло. кто любит после мытья пол сухой, то эта швабра вас разочарует сильно. тряпка после отжима даже разов 10 остаётся мокрой и пол весь влажный, меня это раздражает. 4. ручка швабры удивила надёжностью, металл толщина хорошая, собирается с 4-х частей на скручивающих элементах.",Товар плохого качества
2318,"Жалкая подделка, вонючий запах ужасный, у оригинала крышка дозатор не открывается, в коробке нет кюар кода, а в оригинале он есть, и по цвету и по консистенции отличается, верните деньги теперь.",Подделка
11532,"маленький, неудобно держать.",Товар плохого качества
12689,"раньше приобретала, упаковка отличается кажется подделка.",Подделка
10719,"всё супер, но не знаю оригинал или нет.",Подделка
12970,сәлеметсіздерме! маған сийлықтары ұнамады! суретегідей емес басқаша подаркалары. сағата нашар оригинал емес! даже микрофон салынған қорапша жартылай.,"Другой товар,Подделка"
8414,Спасибо. Каспи. Магазин. Спасибо «Elly. Cakes”.,"Каспи,Продавец"
3455,"Качество ужасное, думаю, что это подделка. Волосы стали фиолетовыми, хотя на флаконе написано, что цвет пепельный, при вскрытии пластмасса на крышке отвалилась. Пришлось выкинуть этот “бальзам”. Деньги на ветер.",Подделка
4767,Морковь привезли протухшую. Как открыла упаковку сильно завоняло(.,Товар плохого качества
6648,"Получила очень хорошая подставка, спасибо.",Продукт
12890,"спасибо большое. не оригинал, но качество отличное. рекомендую.",Подделка
9176,"Товар сынып келді, возврат жасамады, біз жауап бермейміз деп.","Неинформативный,Товар или упаковка поврежден"
6856,"Приветствую всех нужны были часы для роботы, заказал пришли раньше срока продавец AKК-STORE красавчики правда без коробки да и ладно стоят своих денег по любому!",Продавец
12276,"по сезонам немного забивает нос, а так все ок.",Товар плохого качества
5770,Оте жаксы жеткизди,Доставка позитив
381,"Wood idea, благодарим за оперативность! Заказали вечером и сразу на следующий день сделали доставку! Очень довольны покупкой!",Продавец
9745,"Футболка маломерит, ещё и разные размеры положили",Другой товар
8334,"Спасибо продавцу за обратную связь и удобную, своевременную доставку.","Продавец,Доставка позитив"
2788,"Заказды уақытында жеткізбейді, кешігіп және келмей жатып заказ тапсырылды деп басып жібереді, өте нашар, босқа уақытым кетті.",Доставка негатив
5841,"Отлично сел, не бежит, не греется.",Продукт
0,+bestbody magnesium не было.,Неполная комплектация
13355,хлипкое.,Товар плохого качества
5391,Нет в комплекте лопатки. Видимо подделка.,Подделка
7635,"Ребята, это фейк.",Подделка
3210,"К товару претензий нет, доставку у центр соц аптеки ужасная, ни разу еще вовремя не привезли.",Доставка негатив
10283,Я заказала 3 м получила 1м.,Неполная комплектация
10943,"жақсы емес, ұнамады.",Товар плохого качества
10187,Это как понимать?Вернули 8 тенге. До смешного.,Вопрос клиента
6931,"Пришел без шашек и нардов, самый обычный((( расстроило конечно, дети хотели и шашки и нарды, поэтому и выбрала этот магазин, разачерована(((","Неполная комплектация,Продавец"
